Module	Section	Sample Name	Source
Kallisto	all_sections	SRR8668774	/Users/kimtha/Documents/diytranscriptomics/dataset/CL13.log
Kallisto	all_sections	SRR8668773	/Users/kimtha/Documents/diytranscriptomics/dataset/CL12.log
Kallisto	all_sections	SRR8668771	/Users/kimtha/Documents/diytranscriptomics/dataset/CL10.log
Kallisto	all_sections	SRR8668772	/Users/kimtha/Documents/diytranscriptomics/dataset/CL11.log
Kallisto	all_sections	SRR8668757	/Users/kimtha/Documents/diytranscriptomics/dataset/HS03.log
Kallisto	all_sections	SRR8668756	/Users/kimtha/Documents/diytranscriptomics/dataset/HS02.log
Kallisto	all_sections	SRR8668755	/Users/kimtha/Documents/diytranscriptomics/dataset/HS01.log
Kallisto	all_sections	SRR8668759	/Users/kimtha/Documents/diytranscriptomics/dataset/HS05.log
Kallisto	all_sections	SRR8668769	/Users/kimtha/Documents/diytranscriptomics/dataset/CL08.log
Kallisto	all_sections	SRR8668758	/Users/kimtha/Documents/diytranscriptomics/dataset/HS04.log
FastQC	all_sections	SRR8668757	/Users/kimtha/Documents/diytranscriptomics/dataset/SRR8668757_fastqc.zip
FastQC	all_sections	SRR8668771	/Users/kimtha/Documents/diytranscriptomics/dataset/SRR8668771_fastqc.zip
FastQC	all_sections	SRR8668774	/Users/kimtha/Documents/diytranscriptomics/dataset/SRR8668774_fastqc.zip
FastQC	all_sections	SRR8668755	/Users/kimtha/Documents/diytranscriptomics/dataset/SRR8668755_fastqc.zip
FastQC	all_sections	SRR8668758	/Users/kimtha/Documents/diytranscriptomics/dataset/SRR8668758_fastqc.zip
FastQC	all_sections	SRR8668773	/Users/kimtha/Documents/diytranscriptomics/dataset/SRR8668773_fastqc.zip
FastQC	all_sections	SRR8668755_1M_subsample	/Users/kimtha/Documents/diytranscriptomics/dataset/SRR8668755_1M_subsample_fastqc.zip
FastQC	all_sections	SRR8668769	/Users/kimtha/Documents/diytranscriptomics/dataset/SRR8668769_fastqc.zip
FastQC	all_sections	SRR8668756	/Users/kimtha/Documents/diytranscriptomics/dataset/SRR8668756_fastqc.zip
FastQC	all_sections	SRR8668759	/Users/kimtha/Documents/diytranscriptomics/dataset/SRR8668759_fastqc.zip
FastQC	all_sections	SRR8668772	/Users/kimtha/Documents/diytranscriptomics/dataset/SRR8668772_fastqc.zip
